subj_idx,status,runid,condition,cue,coherence,image_index,stim,rt,response,stimulus_side
1,outside,2,2,invalid,high,11,0,0.537220905975119,1,0
1,outside,2,3,valid,low,50,0,0.4686114382020611,1,0
1,outside,2,1,valid,high,8,0,0.33050048203404,1,1
1,outside,2,4,invalid,low,42,0,0.3920394658434821,1,0
1,outside,2,3,valid,low,42,0,0.42984794591393394,1,0
1,outside,2,4,invalid,low,70,1,0.627360674723604,1,1
1,outside,2,1,valid,high,30,1,0.368148981508057,1,1
1,outside,2,4,invalid,low,49,0,0.399418598432021,1,1
1,outside,2,1,valid,high,27,1,0.394642813338578,1,0
1,outside,2,4,invalid,low,47,0,0.401843567176911,1,0
1,outside,2,2,invalid,high,2,0,0.393507641018005,1,1
1,outside,2,2,invalid,high,30,1,0.306889323721407,1,1
1,outside,2,1,valid,high,2,0,0.22943843460234303,1,1
1,outside,2,1,valid,high,17,0,0.460086589499042,1,0
1,outside,2,2,invalid,high,35,1,0.43664066128803797,0,0
1,outside,2,3,valid,low,57,1,0.34577245999207695,1,1
1,outside,2,2,invalid,high,28,1,0.451449174943264,1,1
1,outside,2,4,invalid,low,67,1,0.429940827356404,1,0
1,outside,2,1,valid,high,1,0,0.410093632795906,1,0
1,outside,2,1,valid,high,16,0,0.46788983250007704,1,0
1,outside,2,4,invalid,low,46,0,0.431787056604662,1,1
1,outside,2,4,invalid,low,69,1,0.7000057570421631,1,1
1,outside,2,1,valid,high,34,1,0.483136525746886,1,1
1,outside,2,3,valid,low,39,0,0.6199324480494399,1,1
1,outside,2,4,invalid,low,58,1,0.556114588529454,1,0
1,outside,2,3,valid,low,54,0,0.620332706794215,1,1
1,outside,2,2,invalid,high,22,1,1.0817488123302599,1,1
1,outside,2,4,invalid,low,37,0,0.611365175367609,1,0
1,outside,2,1,valid,high,25,1,0.36022511428927795,1,1
1,outside,2,2,invalid,high,1,0,0.37773289960568895,1,0
1,outside,2,2,invalid,high,4,0,0.45178551160825,1,1
1,outside,2,1,valid,high,11,0,0.479910517051394,1,0
1,outside,2,1,valid,high,36,1,0.563083120099691,1,0
1,outside,2,1,valid,high,35,1,0.478537823197257,1,1
1,outside,2,1,valid,high,32,1,0.34373178501846297,1,0
1,outside,2,2,invalid,high,25,1,0.428563871699225,1,0
1,outside,2,3,valid,low,69,1,0.43303937503515005,1,0
1,outside,2,2,invalid,high,29,1,0.37220969666122994,1,1
1,outside,2,3,valid,low,59,1,0.8157854593628141,1,0
1,outside,2,2,invalid,high,20,1,0.41828798646565707,1,1
1,outside,2,2,invalid,high,19,1,0.36179250763598203,1,0
1,outside,2,4,invalid,low,53,0,0.333033523451377,1,0
1,outside,2,2,invalid,high,10,0,0.371152990788687,1,0
1,outside,2,2,invalid,high,23,1,0.5142106818766479,1,0
1,outside,2,1,valid,high,21,1,0.43228518755859097,1,0
1,outside,2,1,valid,high,23,1,0.284288531320271,1,1
1,outside,2,4,invalid,low,64,1,0.304940674350291,1,1
1,outside,2,1,valid,high,28,1,0.315614867799013,1,1
1,outside,2,4,invalid,low,60,1,0.527153577937497,1,1
1,outside,2,3,valid,low,61,1,0.341487068424613,1,1
1,outside,2,2,invalid,high,31,1,0.407192899481743,1,0
1,outside,2,2,invalid,high,13,0,0.468442008495913,1,0
1,outside,2,4,invalid,low,43,0,0.473838384843475,1,0
1,outside,2,4,invalid,low,66,1,0.407743095094702,0,1
1,outside,2,2,invalid,high,27,1,0.49019814774510495,1,0
1,outside,2,1,valid,high,13,0,0.326247241831879,1,0
1,outside,2,1,valid,high,19,1,0.318845608513584,1,1
1,outside,2,3,valid,low,37,0,0.496516043960582,1,1
1,outside,2,1,valid,high,20,1,0.319409880765306,1,0
1,outside,2,4,invalid,low,44,0,0.46269183776348705,1,0
1,outside,2,2,invalid,high,18,0,0.46138099852578296,1,0
1,outside,2,2,invalid,high,6,0,0.640644691715352,1,0
1,outside,2,4,invalid,low,41,0,0.37580679077291296,1,0
1,outside,2,2,invalid,high,15,0,0.415369387412284,1,1
1,outside,2,1,valid,high,33,1,0.360632403890122,0,1
1,outside,2,3,valid,low,55,1,0.46823574267364204,1,0
1,outside,2,4,invalid,low,62,1,0.638210311177318,1,1
1,outside,2,3,valid,low,62,1,0.36996736349101395,1,0
1,outside,2,4,invalid,low,52,0,0.33743457086529804,1,1
1,outside,2,2,invalid,high,7,0,0.43622298712034496,1,1
1,outside,2,1,valid,high,22,1,0.43357756395562297,1,0
1,outside,2,4,invalid,low,65,1,0.438585685762519,1,1
1,outside,2,4,invalid,low,72,1,0.543818232707054,1,0
1,outside,2,4,invalid,low,54,0,0.486238193274403,0,0
1,outside,2,1,valid,high,31,1,0.34439274025498906,0,1
1,outside,2,1,valid,high,4,0,0.268190420270912,1,1
1,outside,2,3,valid,low,47,0,0.41428479695423404,1,1
1,outside,2,2,invalid,high,8,0,0.397695461415424,1,0
1,outside,2,1,valid,high,7,0,0.353231847839197,1,0
1,outside,2,2,invalid,high,14,0,0.6425653843525649,1,1
1,outside,2,3,valid,low,72,1,0.6842178943497861,1,0
1,outside,2,4,invalid,low,38,0,0.555293993542364,1,0
1,outside,2,3,valid,low,44,0,0.521558441816524,1,0
1,outside,2,2,invalid,high,34,1,0.364253974137682,1,0
1,outside,2,1,valid,high,3,0,0.28687666519545,1,1
1,outside,2,3,valid,low,41,0,0.388611846221465,1,1
1,outside,2,3,valid,low,60,1,0.44499436113255797,1,0
