,subj_idx,status,runid,condition,cue,coherence,image_index,stim,response,rt,accuracy,stimulus_side,Sn_vals,med_dists,Outliers
159,1,outside,2,3,valid,low,38,0,0,0.446366612139173,1,0,0.090001,0.07415691547794306,False
160,1,outside,2,2,invalid,high,21,1,1,0.430313848373771,1,1,0.090001,0.06976358310021197,False
161,1,outside,2,1,valid,high,10,0,0,0.400102472369326,1,1,0.090001,0.06778736013075104,False
162,1,outside,2,2,invalid,high,12,0,0,0.373719972385516,1,1,0.090001,0.07433881214274102,False
163,1,outside,2,2,invalid,high,9,0,0,0.37836456458353496,1,1,0.090001,0.07191448030425801,False
164,1,outside,2,4,invalid,low,40,0,0,0.5844284916365721,1,0,0.090001,0.15264143503191008,False
165,1,outside,2,3,valid,low,70,1,1,0.404976328703924,1,1,0.090001,0.06363510949813705,False
166,1,outside,2,1,valid,high,12,0,0,0.375369947194486,1,1,0.090001,0.07305707906016401,False
167,1,outside,2,3,valid,low,40,0,0,0.470487156744639,1,1,0.090001,0.08332274641361392,False
168,1,outside,2,1,valid,high,15,0,0,0.523842937733207,1,0,0.090001,0.10724149101042696,False
169,1,outside,2,4,invalid,low,71,1,1,0.510244047345623,1,1,0.090001,0.10082522500124502,False
170,1,outside,2,4,invalid,low,50,0,0,0.39188592398204497,1,1,0.090001,0.06986287839572503,False
171,1,outside,2,3,valid,low,68,1,1,0.59059632410208,1,1,0.090001,0.15880926749741797,False
172,1,outside,2,3,valid,low,63,1,1,0.46346489112147493,1,0,0.090001,0.08237522282615906,False
173,1,outside,2,2,invalid,high,16,0,0,0.6772387543005611,1,1,0.090001,0.24133531040024614,False
174,1,outside,2,3,valid,low,45,0,0,0.40163610964191293,1,0,0.090001,0.06659963303172911,False
175,1,outside,2,4,invalid,low,61,1,1,0.671164432722435,1,1,0.090001,0.23526098882212,False
177,1,outside,2,3,valid,low,53,0,0,0.35158100225817196,1,1,0.090001,0.0885758311196691,False
178,1,outside,2,4,invalid,low,55,1,1,0.520950260299287,1,0,0.090001,0.10615345727455905,False
179,1,outside,2,3,valid,low,43,0,0,0.46860099641162395,1,0,0.090001,0.0814365860805989,False
180,1,outside,2,2,invalid,high,11,0,0,0.537220905975119,1,0,0.090001,0.11519611138282992,False
181,1,outside,2,3,valid,low,50,0,0,0.4686114382020611,1,0,0.090001,0.08144702787103603,False
182,1,outside,2,1,valid,high,8,0,0,0.33050048203404,1,1,0.090001,0.10710286421453896,False
183,1,outside,2,4,invalid,low,42,0,0,0.3920394658434821,1,0,0.090001,0.0697093365342879,False
184,1,outside,2,3,valid,low,42,0,0,0.42984794591393394,1,0,0.090001,0.06962283162465599,False
185,1,outside,2,4,invalid,low,70,1,1,0.627360674723604,1,1,0.090001,0.19378311076798105,False
186,1,outside,2,1,valid,high,30,1,1,0.368148981508057,1,1,0.090001,0.07990980302020001,False
187,1,outside,2,4,invalid,low,49,0,0,0.399418598432021,1,1,0.090001,0.06847123406805605,False
188,1,outside,2,1,valid,high,27,1,1,0.394642813338578,1,0,0.090001,0.06780201894434906,False
189,1,outside,2,4,invalid,low,47,0,0,0.401843567176911,1,0,0.090001,0.066598441319002,False
190,1,outside,2,2,invalid,high,2,0,0,0.393507641018005,1,1,0.090001,0.06824116135976499,False
191,1,outside,2,2,invalid,high,30,1,1,0.306889323721407,1,1,0.090001,0.129751337566631,False
192,1,outside,2,1,valid,high,2,0,0,0.22943843460234303,1,1,0.090001,0.20720222668569493,False
193,1,outside,2,1,valid,high,17,0,0,0.460086589499042,1,0,0.090001,0.08137472150883701,False
194,1,outside,2,2,invalid,high,35,1,0,0.43664066128803797,0,0,0.090001,0.07360338605758504,False
195,1,outside,2,3,valid,low,57,1,1,0.34577245999207695,1,1,0.090001,0.092201168075917,False
196,1,outside,2,2,invalid,high,28,1,1,0.451449174943264,1,1,0.090001,0.07564238417035102,False
197,1,outside,2,4,invalid,low,67,1,1,0.429940827356404,1,0,0.090001,0.06971571306712604,False
198,1,outside,2,1,valid,high,1,0,0,0.410093632795906,1,0,0.090001,0.06636184777744303,False
