"subj_idx","status","runid","condition","cue","coherence","image_index","stim","response","rt","accuracy","stimulus_side"
"001","outside","02",4,"invalid","low",69,1,1,0.700005757042163,1,1
"001","outside","02",1,"valid","high",34,1,1,0.483136525746886,1,1
"001","outside","02",3,"valid","low",39,0,0,0.61993244804944,1,1
"001","outside","02",4,"invalid","low",58,1,1,0.556114588529454,1,0
"001","outside","02",3,"valid","low",54,0,0,0.620332706794215,1,1
"001","outside","02",2,"invalid","high",22,1,1,1.08174881233026,1,1
"001","outside","02",4,"invalid","low",37,0,0,0.611365175367609,1,0
"001","outside","02",1,"valid","high",25,1,1,0.360225114289278,1,1
"001","outside","02",2,"invalid","high",1,0,0,0.377732899605689,1,0
"001","outside","02",2,"invalid","high",4,0,0,0.45178551160825,1,1
"001","outside","02",1,"valid","high",11,0,0,0.479910517051394,1,0
"001","outside","02",1,"valid","high",36,1,1,0.563083120099691,1,0
"001","outside","02",1,"valid","high",35,1,1,0.478537823197257,1,1
"001","outside","02",1,"valid","high",32,1,1,0.343731785018463,1,0
"001","outside","02",2,"invalid","high",25,1,1,0.428563871699225,1,0
"001","outside","02",3,"valid","low",69,1,1,0.43303937503515,1,0
"001","outside","02",2,"invalid","high",29,1,1,0.37220969666123,1,1
"001","outside","02",3,"valid","low",59,1,1,0.815785459362814,1,0
"001","outside","02",2,"invalid","high",20,1,1,0.418287986465657,1,1
"001","outside","02",2,"invalid","high",19,1,1,0.361792507635982,1,0
"001","outside","02",4,"invalid","low",53,0,0,0.333033523451377,1,0
"001","outside","02",2,"invalid","high",10,0,0,0.371152990788687,1,0
"001","outside","02",2,"invalid","high",23,1,1,0.514210681876648,1,0
"001","outside","02",1,"valid","high",21,1,1,0.432285187558591,1,0
"001","outside","02",1,"valid","high",23,1,1,0.284288531320271,1,1
"001","outside","02",4,"invalid","low",64,1,1,0.304940674350291,1,1
"001","outside","02",1,"valid","high",28,1,1,0.315614867799013,1,1
"001","outside","02",4,"invalid","low",60,1,1,0.527153577937497,1,1
"001","outside","02",3,"valid","low",61,1,1,0.341487068424613,1,1
"001","outside","02",2,"invalid","high",31,1,1,0.407192899481743,1,0
"001","outside","02",2,"invalid","high",13,0,0,0.468442008495913,1,0
"001","outside","02",4,"invalid","low",43,0,0,0.473838384843475,1,0
"001","outside","02",4,"invalid","low",66,1,0,0.407743095094702,0,1
"001","outside","02",2,"invalid","high",27,1,1,0.490198147745105,1,0
"001","outside","02",1,"valid","high",13,0,0,0.326247241831879,1,0
"001","outside","02",1,"valid","high",19,1,1,0.318845608513584,1,1
"001","outside","02",3,"valid","low",37,0,0,0.496516043960582,1,1
"001","outside","02",1,"valid","high",20,1,1,0.319409880765306,1,0
"001","outside","02",4,"invalid","low",44,0,0,0.462691837763487,1,0
"001","outside","02",2,"invalid","high",18,0,0,0.461380998525783,1,0
"001","outside","02",2,"invalid","high",6,0,0,0.640644691715352,1,0
"001","outside","02",4,"invalid","low",41,0,0,0.375806790772913,1,0
"001","outside","02",2,"invalid","high",15,0,0,0.415369387412284,1,1
"001","outside","02",1,"valid","high",33,1,0,0.360632403890122,0,1
"001","outside","02",3,"valid","low",55,1,1,0.468235742673642,1,0
"001","outside","02",4,"invalid","low",62,1,1,0.638210311177318,1,1
"001","outside","02",3,"valid","low",62,1,1,0.369967363491014,1,0
"001","outside","02",4,"invalid","low",52,0,0,0.337434570865298,1,1
"001","outside","02",2,"invalid","high",7,0,0,0.436222987120345,1,1
"001","outside","02",1,"valid","high",22,1,1,0.433577563955623,1,0
"001","outside","02",4,"invalid","low",65,1,1,0.438585685762519,1,1
"001","outside","02",4,"invalid","low",72,1,1,0.543818232707054,1,0
"001","outside","02",4,"invalid","low",54,0,1,0.486238193274403,0,0
"001","outside","02",1,"valid","high",31,1,0,0.344392740254989,0,1
"001","outside","02",1,"valid","high",4,0,0,0.268190420270912,1,1
"001","outside","02",3,"valid","low",47,0,0,0.414284796954234,1,1
"001","outside","02",2,"invalid","high",8,0,0,0.397695461415424,1,0
"001","outside","02",1,"valid","high",7,0,0,0.353231847839197,1,0
"001","outside","02",2,"invalid","high",14,0,0,0.642565384352565,1,1
"001","outside","02",3,"valid","low",72,1,1,0.684217894349786,1,0
"001","outside","02",4,"invalid","low",38,0,0,0.555293993542364,1,0
"001","outside","02",3,"valid","low",44,0,0,0.521558441816524,1,0
"001","outside","02",2,"invalid","high",34,1,1,0.364253974137682,1,0
"001","outside","02",1,"valid","high",3,0,0,0.28687666519545,1,1
"001","outside","02",3,"valid","low",41,0,0,0.388611846221465,1,1
"001","outside","02",3,"valid","low",60,1,1,0.444994361132558,1,0
"001","outside","02",2,"invalid","high",3,0,0,0.389400916797968,1,0
"001","outside","02",4,"invalid","low",59,1,1,0.437603346248579,1,0
"001","outside","02",1,"valid","high",24,1,1,0.344491027946788,1,0
"001","outside","02",3,"valid","low",52,0,0,0.435525108690854,1,0
"001","outside","02",2,"invalid","high",24,1,1,0.342943107534666,1,0
"001","outside","02",1,"valid","high",9,0,0,0.387164410331025,1,0
"001","outside","02",3,"valid","low",65,1,1,0.462444832282927,1,0
"001","outside","02",1,"valid","high",18,0,0,0.335106603555687,1,0
"001","outside","02",1,"valid","high",26,1,1,0.268191915511125,1,1
"001","outside","02",3,"valid","low",66,1,1,0.40164204084067,1,1
"001","outside","02",4,"invalid","low",51,0,0,0.346516588815575,1,0
"001","outside","02",4,"invalid","low",63,1,1,0.418208375574977,1,1
"001","outside","02",4,"invalid","low",45,0,0,0.432813758186967,1,1
"001","outside","02",1,"valid","high",5,0,0,0.410144809269696,1,1
"001","outside","02",3,"valid","low",49,0,0,0.488449673772266,1,1
"001","outside","02",2,"invalid","high",36,1,1,0.342021408536311,1,1
"001","outside","02",2,"invalid","high",26,1,1,0.411309030519988,1,1
"001","outside","02",2,"invalid","high",17,0,0,0.40126495954064,1,0
"001","outside","02",3,"valid","low",58,1,1,0.60263374985152,1,0
"001","outside","02",4,"invalid","low",57,1,1,0.547393196788107,1,0
"001","outside","02",2,"invalid","high",33,1,1,0.387642938978388,1,1
"002","inside","01",2,"invalid","high",21,1,1,0.699009031570682,1,0
"002","inside","01",1,"valid","high",32,1,1,0.605109560480741,1,0
"002","inside","01",1,"valid","high",7,0,0,0.61938452784463,1,1
"002","inside","01",2,"invalid","high",2,0,0,0.600687679937721,1,0
"002","inside","01",4,"invalid","low",66,1,1,0.690036578505243,1,1
"002","inside","01",3,"valid","low",64,1,1,0.714551579705301,1,0
"002","inside","01",1,"valid","high",8,0,0,0.677770722326613,1,1
"002","inside","01",2,"invalid","high",12,0,0,0.761709800787941,1,0
"002","inside","01",3,"valid","low",38,0,0,0.743909298806329,1,0
"002","inside","01",1,"valid","high",22,1,1,0.584390753879745,1,1
"002","inside","01",4,"invalid","low",43,0,1,0.836853666368143,0,0
"002","inside","01",1,"valid","high",25,1,1,0.624684877914603,1,1
"002","inside","01",2,"invalid","high",27,1,1,0.561187512220272,1,0
"002","inside","01",2,"invalid","high",34,1,1,0.674137292402065,1,1
"002","inside","01",1,"valid","high",34,1,1,0.56030141959809,1,1
"002","inside","01",4,"invalid","low",70,1,1,0.704430134408142,1,1
"002","inside","01",2,"invalid","high",22,1,1,0.535516547537497,1,1
"002","inside","01",3,"valid","low",58,1,1,0.58783103358445,1,0
"002","inside","01",2,"invalid","high",1,0,0,0.615042819175414,1,1
"002","inside","01",4,"invalid","low",62,1,1,0.582296382805623,1,0
"002","inside","01",3,"valid","low",65,1,1,0.488159486134805,1,0
"002","inside","01",1,"valid","high",2,0,0,0.652599353717051,1,0
"002","inside","01",3,"valid","low",46,0,0,0.6785638453253,1,0
"002","inside","01",2,"invalid","high",17,0,0,0.604981015144347,1,1
"002","inside","01",4,"invalid","low",46,0,0,0.663664386236064,1,1
"002","inside","01",4,"invalid","low",45,0,0,0.614093492679558,1,1
"002","inside","01",4,"invalid","low",71,1,0,0.710102339263472,0,1
"002","inside","01",3,"valid","low",42,0,1,0.561966657885648,0,0
"002","inside","01",3,"valid","low",56,1,1,0.62243886625339,1,1
"002","inside","01",1,"valid","high",10,0,1,0.597459321637018,0,1
"002","inside","01",1,"valid","high",11,0,0,0.531206848902116,1,1
"002","inside","01",3,"valid","low",49,0,0,0.540257746907628,1,1
"002","inside","01",4,"invalid","low",51,0,0,0.629207858719269,1,0
"002","inside","01",4,"invalid","low",64,1,1,0.853214212079138,1,0
"002","inside","01",1,"valid","high",1,0,0,0.610333858730996,1,0
"002","inside","01",1,"valid","high",18,0,0,0.571040783149783,1,0
"002","inside","01",2,"invalid","high",6,0,1,0.667469880519548,0,1
"002","inside","01",1,"valid","high",28,1,1,1.10589525093224,1,1
"002","inside","01",4,"invalid","low",63,1,1,0.681728330494138,1,1
"002","inside","01",1,"valid","high",33,1,1,0.618776528629041,1,0
"002","inside","01",3,"valid","low",61,1,1,0.538376899773539,1,0
"002","inside","01",4,"invalid","low",41,0,0,0.77014617645159,1,1
