,subj_idx,status,runid,condition,cue,coherence,image_index,stim,response,rt,accuracy,stimulus_side,cond,Sn_vals,med_dists,Outliers
24,1,outside,1,2,invalid,high,19,1,1,0.494933033953203,1,0,invalid_high,0.090001,0.09425685017231411,False
25,1,outside,1,1,valid,high,24,1,1,0.46250045466695205,1,0,valid_high,0.090001,0.08332265187164101,False
26,1,outside,1,4,invalid,low,43,0,0,0.476273919777668,1,0,invalid_low,0.090001,0.08574874018086098,False
27,1,outside,1,4,invalid,low,57,1,1,0.5891898841255171,1,1,invalid_low,0.090001,0.1574028275208551,False
28,1,outside,1,3,valid,low,45,0,0,0.562022659958529,1,0,valid_low,0.090001,0.13217471404459502,False
29,1,outside,1,1,valid,high,35,1,1,0.325435324704813,1,1,valid_high,0.090001,0.11120533658322496,False
30,1,outside,1,4,invalid,low,58,1,1,0.53137707010319,1,0,invalid_low,0.090001,0.112930715215043,False
31,1,outside,1,4,invalid,low,45,0,0,0.508483074072501,1,1,invalid_low,0.090001,0.10073997897779902,False
32,1,outside,1,3,valid,low,51,0,0,0.575477497402971,1,0,valid_low,0.090001,0.14461632198617708,False
33,1,outside,1,2,invalid,high,10,0,0,0.564002378449004,1,1,invalid_high,0.090001,0.1341544325350701,False
34,1,outside,1,3,valid,low,57,1,1,0.427341863574839,1,1,valid_low,0.090001,0.06781875765955192,False
35,1,outside,1,2,invalid,high,25,1,1,0.441126161080319,1,0,invalid_high,0.090001,0.07287905359589697,False
36,1,outside,1,3,valid,low,48,0,0,0.36227074519410996,1,0,valid_low,0.090001,0.08272361593844801,False
38,1,outside,1,2,invalid,high,13,0,0,0.513516231798349,1,0,invalid_high,0.090001,0.10220720127836108,False
40,1,outside,1,1,valid,high,15,0,0,0.563796577867834,1,0,valid_high,0.090001,0.13394863195390005,False
41,1,outside,1,2,invalid,high,32,1,1,0.44869583087165704,1,0,invalid_high,0.090001,0.07473469215074097,False
42,1,outside,1,2,invalid,high,28,1,1,0.471782147944396,1,1,invalid_high,0.090001,0.08413920896600807,False
43,1,outside,1,4,invalid,low,39,0,0,0.4550531705408499,1,0,invalid_low,0.090001,0.07732027093516097,False
44,1,outside,1,2,invalid,high,26,1,1,0.42202479459228903,1,1,invalid_high,0.090001,0.06817335315281592,False
45,1,outside,1,1,valid,high,27,1,1,0.363193655808573,1,1,valid_high,0.090001,0.08228373212659806,False
46,1,outside,1,4,invalid,low,54,0,0,0.44230055791558703,1,1,invalid_low,0.090001,0.072101484664017,False
48,1,outside,1,2,invalid,high,17,0,0,0.431269407938089,1,0,invalid_high,0.090001,0.07063700404796697,False
49,1,outside,1,4,invalid,low,50,0,0,0.45764817107010497,1,1,invalid_low,0.090001,0.07957273490501399,False
50,1,outside,1,2,invalid,high,30,1,1,0.37318853567376203,1,1,invalid_high,0.090001,0.074870248854495,False
51,1,outside,1,4,invalid,low,40,0,0,0.314468773518456,1,0,invalid_low,0.090001,0.12217188776958199,False
52,1,outside,1,1,valid,high,33,1,1,0.280092846613115,1,1,valid_high,0.090001,0.15654781467492296,False
53,1,outside,1,4,invalid,low,72,1,1,0.5790817840861561,1,0,invalid_low,0.090001,0.14729472748149408,False
54,1,outside,1,4,invalid,low,44,0,0,0.378711867990205,1,1,invalid_low,0.090001,0.07156721172941599,False
55,1,outside,1,3,valid,low,63,1,1,0.5108493652696781,1,1,valid_low,0.090001,0.10070455599998202,False
56,1,outside,1,2,invalid,high,21,1,1,0.409418822344378,1,0,invalid_high,0.090001,0.06647571480971198,False
57,1,outside,1,4,invalid,low,59,1,1,0.512303414045164,1,0,invalid_low,0.090001,0.10099438352517603,False
58,1,outside,1,1,valid,high,25,1,1,0.34288785584976694,1,1,valid_high,0.090001,0.095085772218227,False
59,1,outside,1,4,invalid,low,64,1,1,0.430861175416794,1,1,invalid_low,0.090001,0.07022877152667195,False
60,1,outside,1,1,valid,high,17,0,0,0.3767905061049529,1,1,valid_high,0.090001,0.07228800885786818,False
61,1,outside,1,1,valid,high,34,1,1,0.302312868134322,1,1,valid_high,0.090001,0.13432779315371596,False
62,1,outside,1,3,valid,low,52,0,0,0.44547738793517105,1,0,valid_low,0.090001,0.07402385167006192,False
63,1,outside,1,4,invalid,low,60,1,1,0.590993104735389,1,1,invalid_low,0.090001,0.15920604813072703,False
64,1,outside,1,2,invalid,high,29,1,1,0.450279079719621,1,0,invalid_high,0.090001,0.07449081398590301,False
65,1,outside,1,4,invalid,low,52,0,0,0.458065171013004,1,1,invalid_low,0.090001,0.07970060642946902,False
67,1,outside,1,4,invalid,low,41,0,0,0.523430523022398,1,0,invalid_low,0.090001,0.10706639382442507,False
68,1,outside,1,3,valid,low,70,1,1,0.5936864252980739,1,0,valid_low,0.090001,0.16189936869341193,False
69,1,outside,1,2,invalid,high,31,1,1,0.37917780279531105,1,1,invalid_high,0.090001,0.07110262288733704,False
70,1,outside,1,1,valid,high,18,0,0,0.502860894281184,1,0,valid_high,0.090001,0.097866408752452,False
71,1,outside,1,1,valid,high,4,0,0,0.667525581395239,1,1,valid_high,0.090001,0.231622137494924,False
72,1,outside,1,1,valid,high,21,1,1,0.32749530592082,1,1,valid_high,0.090001,0.10919538242342197,False
73,1,outside,1,2,invalid,high,33,1,1,0.598956437799643,1,0,invalid_high,0.090001,0.16667125024105206,False
74,1,outside,1,3,valid,low,49,0,0,0.440674673616741,1,0,valid_low,0.090001,0.07252569210868398,False
75,1,outside,1,4,invalid,low,63,1,0,0.479420213090634,0,0,invalid_low,0.090001,0.084777399752056,False
76,1,outside,1,2,invalid,high,22,1,1,0.5858366010052121,1,1,invalid_high,0.090001,0.15404954440055008,False
77,1,outside,1,4,invalid,low,70,1,1,0.545840113947634,1,1,invalid_low,0.090001,0.12147264845225503,False
78,1,outside,1,3,valid,low,66,1,1,0.514252083319661,1,1,valid_low,0.090001,0.10294305279967303,False
79,1,outside,1,3,valid,low,62,1,1,0.45027904488779297,1,0,valid_low,0.090001,0.07449077915407498,False
80,1,outside,1,4,invalid,low,46,0,0,0.398420915926181,1,1,invalid_low,0.090001,0.06792043389214103,False
81,1,outside,1,4,invalid,low,65,1,1,0.375788265733718,1,0,invalid_low,0.090001,0.07290756513793906,False
82,1,outside,1,1,valid,high,6,0,0,0.441869182781375,1,1,valid_high,0.090001,0.07234149909527288,False
83,1,outside,1,4,invalid,low,51,0,0,0.5566205962295501,1,0,invalid_low,0.090001,0.127597298120236,False
84,1,outside,1,2,invalid,high,7,0,0,0.402566177997869,1,1,invalid_high,0.090001,0.06603481841375497,False
85,1,outside,1,1,valid,high,16,0,0,0.36108199804766605,1,0,valid_high,0.090001,0.08274179018189909,False
86,1,outside,1,4,invalid,low,62,1,1,0.42770786368601,1,0,invalid_low,0.090001,0.06818475777072291,False
87,1,outside,1,1,valid,high,30,1,1,0.33634722130773304,1,0,valid_high,0.090001,0.10162640676026091,False
88,1,outside,1,4,invalid,low,66,1,1,0.5788219608530201,1,0,invalid_low,0.090001,0.1472665941018929,False
89,1,outside,1,4,invalid,low,49,0,0,0.5382023747170019,1,1,invalid_low,0.090001,0.11617758012471291,False
91,1,outside,1,3,valid,low,43,0,0,0.600727303033636,1,0,valid_low,0.090001,0.168442115475045,False
92,1,outside,1,3,valid,low,58,1,1,0.560155305796798,1,0,valid_low,0.090001,0.13030735988286402,False
93,1,outside,1,1,valid,high,28,1,1,0.303694359266956,1,0,valid_high,0.090001,0.13294630202108199,False
94,1,outside,1,1,valid,high,20,1,1,0.329645720468761,1,1,valid_high,0.090001,0.10795762577981793,False
95,1,outside,1,4,invalid,low,47,0,0,0.6304969168468231,1,1,invalid_low,0.090001,0.19497180815596904,False
97,1,outside,1,1,valid,high,2,0,0,0.4574238081313521,1,1,valid_high,0.090001,0.07969090852566313,False
98,1,outside,1,3,valid,low,71,1,1,0.4882109157406379,1,0,valid_low,0.090001,0.09061104511238216,False
99,1,outside,1,2,invalid,high,3,0,0,0.46174880237777,1,0,invalid_high,0.090001,0.08257099958245895,False
100,1,outside,1,4,invalid,low,48,0,0,0.35076583590853305,1,1,invalid_low,0.090001,0.08939099746930801,False
101,1,outside,1,3,valid,low,47,0,0,0.21829992349739802,1,0,valid_low,0.090001,0.21834073779063995,False
102,1,outside,1,4,invalid,low,68,1,1,0.6093124165763579,1,0,invalid_low,0.090001,0.17627304154120788,False
103,1,outside,1,1,valid,high,23,1,1,0.310279619598077,1,0,valid_high,0.090001,0.12636104168996098,False
104,1,outside,1,2,invalid,high,2,0,0,0.329159899738443,1,1,invalid_high,0.090001,0.10844344651013593,False
105,1,outside,1,3,valid,low,69,1,1,0.594152482010031,1,0,valid_low,0.090001,0.16236542540536902,False
106,1,outside,1,3,valid,low,72,1,1,0.464056744434856,1,1,valid_low,0.090001,0.08251140897118603,False
107,1,outside,1,3,valid,low,64,1,1,0.4628752271764821,1,0,valid_low,0.090001,0.08296488677115188,False
108,1,outside,1,3,valid,low,37,0,0,0.35305309092837,1,1,valid_low,0.090001,0.087621582688371,False
109,1,outside,1,2,invalid,high,16,0,0,0.519392261330722,1,0,invalid_high,0.090001,0.10535935363805093,False
110,1,outside,1,3,valid,low,61,1,1,0.317831722197297,1,1,valid_low,0.090001,0.11880893909074097,False
111,1,outside,1,1,valid,high,26,1,1,0.44015683337784106,1,0,valid_high,0.090001,0.07241140461519602,False
112,1,outside,1,2,invalid,high,24,1,1,0.308075179907974,1,1,invalid_high,0.090001,0.12856548138006396,False
113,1,outside,1,4,invalid,low,53,0,0,0.392464733138695,1,1,invalid_low,0.090001,0.06928406923907499,False
114,1,outside,1,3,valid,low,46,0,0,0.376273310237593,1,1,valid_low,0.090001,0.07257895097063699,False
115,1,outside,1,2,invalid,high,23,1,1,0.37019907325157003,1,1,invalid_high,0.090001,0.077859711276687,False
116,1,outside,1,2,invalid,high,1,0,0,0.388379084073676,1,0,invalid_high,0.090001,0.06953347556009198,False
117,1,outside,1,2,invalid,high,11,0,0,0.405241585551266,1,1,invalid_high,0.090001,0.06375451712665298,False
118,1,outside,1,4,invalid,low,67,1,1,0.4490785149628211,1,0,invalid_low,0.090001,0.07435200805957692,False
119,1,outside,1,2,invalid,high,27,1,1,0.318277591943115,1,1,invalid_high,0.090001,0.11836306934492297,False
120,1,outside,1,2,invalid,high,8,0,0,0.414796803024728,1,1,invalid_high,0.090001,0.06833972272215799,False
121,1,outside,1,2,invalid,high,15,0,0,0.402119957456307,1,1,invalid_high,0.090001,0.06632205103960598,False
122,1,outside,1,3,valid,low,65,1,1,0.3595231059152871,1,0,valid_low,0.090001,0.08277745200029996,False
123,1,outside,1,1,valid,high,36,1,1,0.264383144354724,1,1,valid_high,0.090001,0.17225751693331398,False
124,1,outside,1,3,valid,low,50,0,0,0.35938554146559903,1,1,valid_low,0.090001,0.082915016449988,False
125,1,outside,1,1,valid,high,7,0,0,0.41660144672278004,1,0,valid_high,0.090001,0.06963674655162294,False
126,1,outside,1,4,invalid,low,37,0,0,0.42436746549537896,1,1,invalid_low,0.090001,0.06583068224972599,False
127,1,outside,1,2,invalid,high,18,0,0,0.25787181997293396,1,1,invalid_high,0.090001,0.178768841315104,False
128,1,outside,1,2,invalid,high,9,0,0,0.38154533546367,1,0,invalid_high,0.090001,0.07021767790320205,False
130,1,outside,1,3,valid,low,40,0,0,0.487966104603402,1,1,valid_low,0.090001,0.09085585624961806,False
131,1,outside,1,3,valid,low,55,1,0,0.654605999614432,0,1,valid_low,0.090001,0.218702555714117,False
132,1,outside,1,2,invalid,high,14,0,0,0.646131827314093,1,1,invalid_high,0.090001,0.21030749920828407,False
133,1,outside,1,1,valid,high,11,0,0,0.371216748664665,1,1,valid_high,0.090001,0.07684203586359206,False
134,1,outside,1,4,invalid,low,61,1,1,0.508251919118266,1,0,invalid_low,0.090001,0.10058317794209803,False
135,1,outside,1,1,valid,high,29,1,1,0.341930644308377,1,0,valid_high,0.090001,0.09604298375961695,False
136,1,outside,1,3,valid,low,53,0,0,0.38274477070626706,1,0,valid_low,0.090001,0.06901824266060497,False
137,1,outside,1,4,invalid,low,71,1,1,0.431567378418549,1,1,invalid_low,0.090001,0.07093497452842695,False
138,1,outside,1,2,invalid,high,34,1,0,0.342494943928614,0,0,invalid_high,0.090001,0.09547868413937993,False
139,1,outside,1,3,valid,low,56,1,1,0.32782966966624394,1,0,valid_low,0.090001,0.10952974616884592,False
140,1,outside,1,2,invalid,high,5,0,0,0.44805878452825704,1,1,invalid_high,0.090001,0.07433881214274102,False
141,1,outside,1,1,valid,high,10,0,0,0.32170388053054905,1,1,valid_high,0.090001,0.11493678075748892,False
142,1,outside,1,4,invalid,low,69,1,1,0.608835097060364,1,1,invalid_low,0.090001,0.17579572202521393,False
143,1,outside,1,3,valid,low,54,0,0,0.515199310846583,1,1,valid_low,0.090001,0.10389028032659503,False
144,1,outside,2,2,invalid,high,32,1,1,0.47190397631493397,1,0,invalid_high,0.090001,0.08421061221451998,False
145,1,outside,2,4,invalid,low,48,0,0,0.435903443900315,1,1,invalid_low,0.090001,0.07363269870620504,False
146,1,outside,2,1,valid,high,29,1,1,0.5478839560382771,1,0,valid_high,0.090001,0.12054209246343811,False
147,1,outside,2,3,valid,low,51,0,0,0.27834020786576696,1,1,valid_low,0.090001,0.158300453422271,False
148,1,outside,2,1,valid,high,14,0,0,0.32036596279249396,1,0,valid_high,0.090001,0.116274698495544,False
149,1,outside,2,3,valid,low,64,1,1,0.25362669784772196,1,1,valid_low,0.090001,0.183013963440316,False
150,1,outside,2,4,invalid,low,56,1,1,0.500077431473983,1,0,invalid_low,0.090001,0.097511253476114,False
151,1,outside,2,3,valid,low,71,1,1,0.451763013366872,1,0,valid_low,0.090001,0.07548970312927905,False
152,1,outside,2,4,invalid,low,39,0,0,0.32851485224819,1,1,invalid_low,0.090001,0.10908849400038895,False
154,1,outside,2,3,valid,low,56,1,1,0.46189498746753105,1,1,valid_low,0.090001,0.08271718467222,False
155,1,outside,2,4,invalid,low,68,1,1,0.527006017029635,1,1,invalid_low,0.090001,0.11040457030685497,False
156,1,outside,2,3,valid,low,67,1,1,0.5125682379930371,1,1,valid_low,0.090001,0.10125920747304912,False
157,1,outside,2,2,invalid,high,5,0,0,0.43582432810580896,1,1,invalid_high,0.090001,0.073553582911699,False
158,1,outside,2,3,valid,low,46,0,0,0.41243852043589896,1,1,valid_low,0.090001,0.06747199661549502,False
159,1,outside,2,3,valid,low,38,0,0,0.446366612139173,1,0,valid_low,0.090001,0.07415691547794306,False
160,1,outside,2,2,invalid,high,21,1,1,0.430313848373771,1,1,invalid_high,0.090001,0.06976358310021197,False
161,1,outside,2,1,valid,high,10,0,0,0.400102472369326,1,1,valid_high,0.090001,0.06778736013075104,False
162,1,outside,2,2,invalid,high,12,0,0,0.373719972385516,1,1,invalid_high,0.090001,0.07433881214274102,False
163,1,outside,2,2,invalid,high,9,0,0,0.37836456458353496,1,1,invalid_high,0.090001,0.07191448030425801,False
164,1,outside,2,4,invalid,low,40,0,0,0.5844284916365721,1,0,invalid_low,0.090001,0.15264143503191008,False
165,1,outside,2,3,valid,low,70,1,1,0.404976328703924,1,1,valid_low,0.090001,0.06363510949813705,False
166,1,outside,2,1,valid,high,12,0,0,0.375369947194486,1,1,valid_high,0.090001,0.07305707906016401,False
167,1,outside,2,3,valid,low,40,0,0,0.470487156744639,1,1,valid_low,0.090001,0.08332274641361392,False
168,1,outside,2,1,valid,high,15,0,0,0.523842937733207,1,0,valid_high,0.090001,0.10724149101042696,False
169,1,outside,2,4,invalid,low,71,1,1,0.510244047345623,1,1,invalid_low,0.090001,0.10082522500124502,False
170,1,outside,2,4,invalid,low,50,0,0,0.39188592398204497,1,1,invalid_low,0.090001,0.06986287839572503,False
171,1,outside,2,3,valid,low,68,1,1,0.59059632410208,1,1,valid_low,0.090001,0.15880926749741797,False
172,1,outside,2,3,valid,low,63,1,1,0.46346489112147493,1,0,valid_low,0.090001,0.08237522282615906,False
173,1,outside,2,2,invalid,high,16,0,0,0.6772387543005611,1,1,invalid_high,0.090001,0.24133531040024614,False
174,1,outside,2,3,valid,low,45,0,0,0.40163610964191293,1,0,valid_low,0.090001,0.06659963303172911,False
175,1,outside,2,4,invalid,low,61,1,1,0.671164432722435,1,1,invalid_low,0.090001,0.23526098882212,False
177,1,outside,2,3,valid,low,53,0,0,0.35158100225817196,1,1,valid_low,0.090001,0.0885758311196691,False
178,1,outside,2,4,invalid,low,55,1,1,0.520950260299287,1,0,invalid_low,0.090001,0.10615345727455905,False
179,1,outside,2,3,valid,low,43,0,0,0.46860099641162395,1,0,valid_low,0.090001,0.0814365860805989,False
180,1,outside,2,2,invalid,high,11,0,0,0.537220905975119,1,0,invalid_high,0.090001,0.11519611138282992,False
181,1,outside,2,3,valid,low,50,0,0,0.4686114382020611,1,0,valid_low,0.090001,0.08144702787103603,False
182,1,outside,2,1,valid,high,8,0,0,0.33050048203404,1,1,valid_high,0.090001,0.10710286421453896,False
183,1,outside,2,4,invalid,low,42,0,0,0.3920394658434821,1,0,invalid_low,0.090001,0.0697093365342879,False
184,1,outside,2,3,valid,low,42,0,0,0.42984794591393394,1,0,valid_low,0.090001,0.06962283162465599,False
185,1,outside,2,4,invalid,low,70,1,1,0.627360674723604,1,1,invalid_low,0.090001,0.19378311076798105,False
186,1,outside,2,1,valid,high,30,1,1,0.368148981508057,1,1,valid_high,0.090001,0.07990980302020001,False
187,1,outside,2,4,invalid,low,49,0,0,0.399418598432021,1,1,invalid_low,0.090001,0.06847123406805605,False
188,1,outside,2,1,valid,high,27,1,1,0.394642813338578,1,0,valid_high,0.090001,0.06780201894434906,False
189,1,outside,2,4,invalid,low,47,0,0,0.401843567176911,1,0,invalid_low,0.090001,0.066598441319002,False
190,1,outside,2,2,invalid,high,2,0,0,0.393507641018005,1,1,invalid_high,0.090001,0.06824116135976499,False
191,1,outside,2,2,invalid,high,30,1,1,0.306889323721407,1,1,invalid_high,0.090001,0.129751337566631,False
192,1,outside,2,1,valid,high,2,0,0,0.22943843460234303,1,1,valid_high,0.090001,0.20720222668569493,False
193,1,outside,2,1,valid,high,17,0,0,0.460086589499042,1,0,valid_high,0.090001,0.08137472150883701,False
194,1,outside,2,2,invalid,high,35,1,0,0.43664066128803797,0,0,invalid_high,0.090001,0.07360338605758504,False
195,1,outside,2,3,valid,low,57,1,1,0.34577245999207695,1,1,valid_low,0.090001,0.092201168075917,False
196,1,outside,2,2,invalid,high,28,1,1,0.451449174943264,1,1,invalid_high,0.090001,0.07564238417035102,False
197,1,outside,2,4,invalid,low,67,1,1,0.429940827356404,1,0,invalid_low,0.090001,0.06971571306712604,False
198,1,outside,2,1,valid,high,1,0,0,0.410093632795906,1,0,valid_high,0.090001,0.06636184777744303,False
199,1,outside,2,1,valid,high,16,0,0,0.46788983250007704,1,0,valid_high,0.090001,0.08072542216905199,False
200,1,outside,2,4,invalid,low,46,0,0,0.431787056604662,1,1,invalid_low,0.090001,0.07107383767652198,False
201,1,outside,2,4,invalid,low,69,1,1,0.7000057570421631,1,1,invalid_low,0.090001,0.26410231314184807,False
202,1,outside,2,1,valid,high,34,1,1,0.483136525746886,1,1,valid_high,0.090001,0.088493712408308,False
203,1,outside,2,3,valid,low,39,0,0,0.6199324480494399,1,1,valid_low,0.090001,0.18689307301428987,False
204,1,outside,2,4,invalid,low,58,1,1,0.556114588529454,1,0,invalid_low,0.090001,0.12755071683022895,False
205,1,outside,2,3,valid,low,54,0,0,0.620332706794215,1,1,valid_low,0.090001,0.18729333175906498,False
207,1,outside,2,4,invalid,low,37,0,0,0.611365175367609,1,0,invalid_low,0.090001,0.17832580033245898,False
208,1,outside,2,1,valid,high,25,1,1,0.36022511428927795,1,1,valid_high,0.090001,0.08207544362630909,False
209,1,outside,2,2,invalid,high,1,0,0,0.37773289960568895,1,0,invalid_high,0.090001,0.07254614528210401,False
210,1,outside,2,2,invalid,high,4,0,0,0.45178551160825,1,1,invalid_high,0.090001,0.075512201370657,False
211,1,outside,2,1,valid,high,11,0,0,0.479910517051394,1,0,valid_high,0.090001,0.085267703712816,False
212,1,outside,2,1,valid,high,36,1,1,0.563083120099691,1,0,valid_high,0.090001,0.13323517418575703,False
213,1,outside,2,1,valid,high,35,1,1,0.478537823197257,1,1,valid_high,0.090001,0.08525875467057697,False
214,1,outside,2,1,valid,high,32,1,1,0.34373178501846297,1,0,valid_high,0.090001,0.09424184304953098,False
215,1,outside,2,2,invalid,high,25,1,1,0.428563871699225,1,0,invalid_high,0.090001,0.06833875740994705,False
216,1,outside,2,3,valid,low,69,1,1,0.43303937503515005,1,0,valid_low,0.090001,0.071957376987484,False
217,1,outside,2,2,invalid,high,29,1,1,0.37220969666122994,1,1,invalid_high,0.090001,0.0758490878670271,False
219,1,outside,2,2,invalid,high,20,1,1,0.41828798646565707,1,1,invalid_high,0.090001,0.06795020680874592,False
220,1,outside,2,2,invalid,high,19,1,1,0.36179250763598203,1,0,invalid_high,0.090001,0.08320185349657594,False
221,1,outside,2,4,invalid,low,53,0,0,0.333033523451377,1,0,invalid_low,0.090001,0.10456982279720195,False
222,1,outside,2,2,invalid,high,10,0,0,0.371152990788687,1,0,invalid_high,0.090001,0.07690579373957002,False
223,1,outside,2,2,invalid,high,23,1,1,0.5142106818766479,1,0,invalid_high,0.090001,0.1029016513566599,False
224,1,outside,2,1,valid,high,21,1,1,0.43228518755859097,1,0,valid_high,0.090001,0.07120318951092491,False
225,1,outside,2,1,valid,high,23,1,1,0.284288531320271,1,1,valid_high,0.090001,0.15235212996776698,False
226,1,outside,2,4,invalid,low,64,1,1,0.304940674350291,1,1,invalid_low,0.090001,0.13169998693774698,False
227,1,outside,2,1,valid,high,28,1,1,0.315614867799013,1,1,valid_high,0.090001,0.12102579348902498,False
228,1,outside,2,4,invalid,low,60,1,1,0.527153577937497,1,1,invalid_low,0.090001,0.11055213121471691,False
229,1,outside,2,3,valid,low,61,1,1,0.341487068424613,1,1,valid_low,0.090001,0.09648655964338093,False
230,1,outside,2,2,invalid,high,31,1,1,0.407192899481743,1,0,invalid_high,0.090001,0.064711076833191,False
231,1,outside,2,2,invalid,high,13,0,0,0.468442008495913,1,0,invalid_high,0.090001,0.08127759816488794,False
232,1,outside,2,4,invalid,low,43,0,0,0.473838384843475,1,0,invalid_low,0.090001,0.08522653862201002,False
233,1,outside,2,4,invalid,low,66,1,0,0.407743095094702,0,1,invalid_low,0.090001,0.06524815116608801,False
234,1,outside,2,2,invalid,high,27,1,1,0.49019814774510495,1,0,invalid_high,0.090001,0.09177723181892394,False
235,1,outside,2,1,valid,high,13,0,0,0.326247241831879,1,0,valid_high,0.090001,0.11039341945615899,False
236,1,outside,2,1,valid,high,19,1,1,0.318845608513584,1,1,valid_high,0.090001,0.11779505277445396,False
237,1,outside,2,3,valid,low,37,0,0,0.496516043960582,1,1,valid_low,0.090001,0.09487400311991201,False
238,1,outside,2,1,valid,high,20,1,1,0.319409880765306,1,0,valid_high,0.090001,0.11723078052273195,False
239,1,outside,2,4,invalid,low,44,0,0,0.46269183776348705,1,0,invalid_low,0.090001,0.08314827618414694,False
240,1,outside,2,2,invalid,high,18,0,0,0.46138099852578296,1,0,invalid_high,0.090001,0.08243723418127102,False
241,1,outside,2,2,invalid,high,6,0,0,0.640644691715352,1,0,invalid_high,0.090001,0.20511958302449795,False
242,1,outside,2,4,invalid,low,41,0,0,0.37580679077291296,1,0,invalid_low,0.090001,0.07288904009874408,False
243,1,outside,2,2,invalid,high,15,0,0,0.415369387412284,1,1,invalid_high,0.090001,0.06885279859670901,False
244,1,outside,2,1,valid,high,33,1,0,0.360632403890122,0,1,valid_high,0.090001,0.08229219602435506,False
245,1,outside,2,3,valid,low,55,1,1,0.46823574267364204,1,0,valid_low,0.090001,0.08107133234261699,False
246,1,outside,2,4,invalid,low,62,1,1,0.638210311177318,1,1,invalid_low,0.090001,0.20268520248646393,False
247,1,outside,2,3,valid,low,62,1,1,0.36996736349101395,1,0,valid_low,0.090001,0.07809142103724309,False
248,1,outside,2,4,invalid,low,52,0,0,0.33743457086529804,1,1,invalid_low,0.090001,0.1005390572026959,False
249,1,outside,2,2,invalid,high,7,0,0,0.43622298712034496,1,1,invalid_high,0.090001,0.07395224192623501,False
250,1,outside,2,1,valid,high,22,1,1,0.43357756395562297,1,0,valid_high,0.090001,0.07249556590795692,False
251,1,outside,2,4,invalid,low,65,1,1,0.438585685762519,1,1,invalid_low,0.090001,0.073717728282645,False
252,1,outside,2,4,invalid,low,72,1,1,0.543818232707054,1,0,invalid_low,0.090001,0.11945076721167502,False
253,1,outside,2,4,invalid,low,54,0,1,0.486238193274403,0,0,invalid_low,0.090001,0.09133315835060796,False
254,1,outside,2,1,valid,high,31,1,0,0.34439274025498906,0,1,valid_high,0.090001,0.09358088781300489,False
255,1,outside,2,1,valid,high,4,0,0,0.268190420270912,1,1,valid_high,0.090001,0.16845024101712597,False
256,1,outside,2,3,valid,low,47,0,0,0.41428479695423404,1,1,valid_low,0.090001,0.06851233696215708,False
257,1,outside,2,2,invalid,high,8,0,0,0.397695461415424,1,0,invalid_high,0.090001,0.06739393072348304,False
258,1,outside,2,1,valid,high,7,0,0,0.353231847839197,1,0,valid_high,0.090001,0.08744282577754403,False
