V1,V2,V3,V4
-0.34347546033923443,-0.35380874529658235,-0.34431027908417233,-0.3105531594067165
-0.31641287950394426,-0.3141106253435999,-0.3237714565164704,-0.3316561947054979
-0.3406867790555209,-0.33421268927909437,-0.3293720361973337,-0.3362373967211248
-0.32969795297451643,-0.35435977897450777,-0.3091548164384804,-0.30645957507624716
-0.31139544547404274,-0.3233075523369532,-0.2931049139772817,-0.31581940162804706
-0.3289856430602895,-0.34349617296203466,-0.3409144206749293,-0.3408149856520563
-0.3160381421351256,-0.33751699852303185,-0.3302720286205266,-0.3490813899970853
-0.3264691405264838,-0.3338377223307956,-0.34490333789695055,-0.3174046782022396
-0.36845474386188554,-0.3306910514140598,-0.33772050076642585,-0.31803593787521967
-0.3478916360936815,-0.3288086431261447,-0.3210910366181433,-0.3312256651462312
-0.31176885150513395,-0.3046504685678843,-0.32163170676146813,-0.32834279991162685
-0.3003043033980022,-0.3155560203773709,-0.32977071029064126,-0.3020949436110952
-0.3439804965798867,-0.34726739594682565,-0.3142151793797552,-0.3155487268042796
-0.3555956310164084,-0.32956083875297887,-0.29293138524082174,-0.3390828862863394
-0.3451861415469674,-0.34344868268929607,-0.3172594420509392,-0.31203045022393877
-0.3425468407616456,-0.3366543006321437,-0.3070981139687342,-0.33944806553700374
-0.31136812594578617,-0.35472397586304294,-0.3176441815845227,-0.371790787362613
-0.37831021304783974,-0.3211361867065285,-0.3393657780442362,-0.31198966535736544
-0.30694139476983084,-0.3343569718144855,-0.34504271172813367,-0.36116493384176585
-0.35266630303634805,-0.3108197127666491,-0.31646121601975985,-0.3250319164306449
-0.3315597349905769,-0.3286054106742495,-0.36121586647393905,-0.35019579345016427
-0.33493324804185476,-0.3125175406539585,-0.3480169777961121,-0.31631812244778784
-0.33681561941591526,-0.3471413778484291,-0.3469241789602536,-0.3237389978375756
-0.31847272586491776,-0.3512192929910656,-0.34391502346437414,-0.3080788232044619
-0.3221065291784523,-0.32730311379542554,-0.33076599637371,-0.3452890802336265
-0.3334322955776232,-0.3335397405368492,-0.33114404591376384,-0.3137828848188119
-0.29598667855109334,-0.337144458354455,-0.33687203198935806,-0.30631867687820324
-0.30601682597098107,-0.3413166613460969,-0.30642475237404376,-0.3392372986907036
-0.35531787703309464,-0.35399957018309713,-0.34496151587288165,-0.3351826295976613
-0.34941664065068395,-0.36177828671051593,-0.34079569464962317,-0.33129593357780157
